iter	Passed	Remaining
0	9	4535
1	16	4087
2	22	3706
3	29	3664
4	35	3523
5	42	3485
6	49	3457
7	55	3402
8	62	3385
9	68	3358
10	76	3396
11	83	3390
12	91	3418
13	98	3417
14	105	3415
15	112	3398
16	119	3400
17	130	3483
18	139	3532
19	148	3569
20	156	3565
21	163	3551
22	171	3548
23	178	3535
24	185	3528
25	193	3529
26	200	3515
27	209	3527
28	216	3518
29	223	3508
30	230	3488
31	238	3480
32	244	3462
33	251	3448
34	260	3457
35	268	3461
36	276	3454
37	283	3444
38	291	3440
39	299	3442
40	307	3443
41	314	3426
42	321	3419
43	328	3401
44	336	3397
45	342	3380
46	349	3368
47	356	3359
48	363	3350
49	371	3343
50	378	3330
51	386	3328
52	394	3326
53	402	3322
54	408	3308
55	415	3293
56	422	3283
57	429	3271
58	436	3260
59	443	3249
60	450	3240
61	456	3227
62	463	3213
63	470	3206
64	477	3193
65	484	3186
66	491	3175
67	498	3169
68	505	3156
69	512	3149
70	520	3145
71	528	3141
72	535	3134
73	544	3132
74	551	3125
75	558	3118
76	566	3113
77	573	3101
78	580	3092
79	587	3083
80	593	3071
81	601	3064
82	607	3053
83	614	3045
84	621	3032
85	628	3025
86	634	3013
87	642	3006
88	651	3008
89	658	2999
90	665	2991
91	672	2980
92	679	2971
93	685	2962
94	693	2956
95	700	2946
96	707	2938
97	714	2930
98	720	2918
99	727	2909
100	734	2900
101	740	2890
102	747	2881
103	754	2871
104	761	2863
105	768	2857
106	777	2855
107	785	2849
108	793	2845
109	799	2835
110	806	2825
111	813	2818
112	820	2811
113	827	2802
114	834	2793
115	841	2784
116	847	2773
117	854	2764
118	861	2756
119	867	2748
120	874	2739
121	881	2730
122	888	2721
123	895	2716
124	902	2708
125	911	2705
126	917	2696
127	925	2688
128	932	2680
129	939	2674
130	946	2667
131	953	2658
132	960	2649
133	967	2641
134	974	2634
135	981	2626
136	988	2617
137	994	2608
138	1001	2600
139	1008	2593
140	1014	2584
141	1023	2579
142	1030	2573
143	1039	2569
144	1045	2560
145	1052	2552
146	1059	2544
147	1066	2536
148	1073	2528
149	1079	2519
150	1087	2512
151	1093	2504
152	1100	2496
153	1107	2488
154	1114	2479
155	1121	2472
156	1127	2463
157	1134	2455
158	1141	2447
159	1148	2441
160	1157	2436
161	1166	2432
162	1172	2424
163	1179	2415
164	1186	2409
165	1193	2401
166	1201	2395
167	1207	2386
168	1214	2378
169	1221	2371
170	1228	2363
171	1236	2357
172	1242	2348
173	1250	2342
174	1256	2333
175	1263	2325
176	1270	2317
177	1279	2314
178	1289	2312
179	1296	2304
180	1303	2297
181	1310	2289
182	1317	2282
183	1324	2274
184	1332	2268
185	1338	2260
186	1345	2251
187	1352	2244
188	1359	2236
189	1366	2229
190	1372	2220
191	1380	2214
192	1386	2206
193	1393	2197
194	1400	2190
195	1407	2183
196	1416	2179
197	1423	2171
198	1430	2164
199	1437	2156
200	1444	2148
201	1450	2140
202	1457	2132
203	1464	2125
204	1471	2117
205	1478	2110
206	1484	2101
207	1491	2093
208	1499	2087
209	1506	2079
210	1513	2072
211	1519	2064
212	1528	2059
213	1536	2054
214	1546	2049
215	1552	2041
216	1560	2034
217	1567	2027
218	1574	2020
219	1581	2012
220	1588	2005
221	1595	1997
222	1602	1990
223	1609	1982
224	1616	1975
225	1623	1967
226	1630	1960
227	1636	1952
228	1644	1946
229	1651	1938
230	1660	1933
231	1668	1927
232	1677	1921
233	1684	1914
234	1691	1907
235	1697	1899
236	1704	1891
237	1711	1884
238	1718	1876
239	1725	1869
240	1732	1861
241	1739	1854
242	1746	1846
243	1752	1839
244	1759	1831
245	1766	1823
246	1773	1817
247	1780	1809
248	1789	1803
249	1797	1797
250	1806	1792
251	1813	1785
252	1821	1778
253	1828	1771
254	1835	1763
255	1841	1755
256	1848	1747
257	1856	1741
258	1862	1733
259	1870	1726
260	1876	1718
261	1883	1710
262	1890	1703
263	1896	1695
264	1904	1688
265	1911	1681
266	1918	1674
267	1927	1668
268	1935	1662
269	1943	1655
270	1951	1649
271	1958	1641
272	1964	1633
273	1971	1626
274	1978	1619
275	1986	1612
276	1992	1604
277	2000	1597
278	2007	1589
279	2013	1582
280	2020	1574
281	2027	1567
282	2035	1560
283	2042	1553
284	2049	1546
285	2057	1539
286	2066	1533
287	2074	1526
288	2081	1519
289	2088	1512
290	2094	1504
291	2101	1496
292	2107	1489
293	2116	1482
294	2122	1475
295	2129	1467
296	2136	1460
297	2143	1452
298	2150	1445
299	2157	1438
300	2164	1431
301	2171	1423
302	2178	1416
303	2186	1409
304	2195	1403
305	2202	1396
306	2209	1388
307	2216	1381
308	2223	1374
309	2231	1367
310	2237	1359
311	2244	1352
312	2251	1345
313	2258	1337
314	2265	1330
315	2272	1323
316	2280	1316
317	2286	1308
318	2293	1301
319	2300	1293
320	2308	1287
321	2315	1280
322	2323	1273
323	2331	1266
324	2338	1258
325	2345	1251
326	2351	1244
327	2359	1237
328	2365	1229
329	2372	1222
330	2379	1214
331	2386	1207
332	2393	1200
333	2400	1192
334	2407	1185
335	2413	1177
336	2419	1170
337	2427	1163
338	2434	1156
339	2442	1149
340	2450	1142
341	2457	1135
342	2464	1128
343	2471	1120
344	2478	1113
345	2485	1106
346	2492	1098
347	2499	1091
348	2508	1085
349	2515	1077
350	2522	1070
351	2529	1063
352	2536	1056
353	2543	1048
354	2549	1041
355	2557	1034
356	2565	1027
357	2574	1021
358	2581	1013
359	2588	1006
360	2594	999
361	2601	991
362	2607	984
363	2614	976
364	2621	969
365	2627	962
366	2634	954
367	2641	947
368	2647	939
369	2655	932
370	2661	925
371	2669	918
372	2675	911
373	2682	903
374	2690	896
375	2698	889
376	2706	882
377	2712	875
378	2720	868
379	2727	861
380	2733	853
381	2740	846
382	2747	839
383	2754	831
384	2761	824
385	2768	817
386	2774	810
387	2781	802
388	2788	795
389	2794	788
390	2802	781
391	2808	773
392	2817	766
393	2824	760
394	2833	753
395	2839	745
396	2846	738
397	2853	731
398	2860	724
399	2867	716
400	2874	709
401	2881	702
402	2888	695
403	2894	687
404	2901	680
405	2908	673
406	2915	666
407	2922	658
408	2929	651
409	2936	644
410	2943	637
411	2951	630
412	2958	623
413	2965	616
414	2972	608
415	2979	601
416	2987	594
417	2994	587
418	3000	580
419	3007	572
420	3014	565
421	3020	558
422	3027	551
423	3034	543
424	3041	536
425	3048	529
426	3055	522
427	3062	515
428	3070	508
429	3078	501
430	3086	494
431	3094	487
432	3101	479
433	3108	472
434	3114	465
435	3121	458
436	3128	451
437	3135	443
438	3142	436
439	3149	429
440	3155	422
441	3162	415
442	3169	407
443	3176	400
444	3183	393
445	3190	386
446	3197	379
447	3205	372
448	3213	364
449	3220	357
450	3226	350
451	3234	343
452	3241	336
453	3247	329
454	3253	321
455	3261	314
456	3268	307
457	3275	300
458	3282	293
459	3290	286
460	3298	279
461	3306	271
462	3313	264
463	3322	257
464	3330	250
465	3338	243
466	3345	236
467	3352	229
468	3359	222
469	3365	214
470	3373	207
471	3379	200
472	3386	193
473	3391	186
474	3397	178
475	3404	171
476	3410	164
477	3416	157
478	3423	150
479	3429	142
480	3435	135
481	3441	128
482	3449	121
483	3457	114
484	3464	107
485	3471	99
486	3477	92
487	3484	85
488	3491	78
489	3497	71
490	3504	64
491	3510	57
492	3516	49
493	3523	42
494	3528	35
495	3535	28
496	3541	21
497	3547	14
498	3553	7
499	3559	0
