iter	Passed	Remaining
0	4	4894
1	11	5507
2	16	5367
3	20	5117
4	26	5326
5	31	5262
6	36	5200
7	42	5281
8	47	5256
9	52	5219
10	58	5301
11	64	5282
12	68	5210
13	73	5192
14	79	5201
15	84	5173
16	90	5212
17	95	5221
18	100	5209
19	107	5255
20	112	5239
21	117	5215
22	123	5242
23	129	5249
24	134	5234
25	140	5267
26	145	5253
27	149	5205
28	155	5206
29	161	5222
30	166	5215
31	173	5236
32	179	5254
33	185	5264
34	191	5282
35	196	5259
36	201	5252
37	208	5278
38	213	5263
39	219	5261
40	224	5260
41	229	5244
42	235	5238
43	239	5211
44	245	5203
45	250	5193
46	256	5195
47	261	5183
48	267	5184
49	274	5212
50	279	5203
51	286	5218
52	291	5203
53	296	5188
54	301	5187
55	307	5179
56	312	5163
57	317	5155
58	323	5155
59	328	5144
60	333	5132
61	338	5123
62	343	5113
63	349	5110
64	355	5108
65	360	5101
66	365	5091
67	371	5095
68	376	5085
69	382	5083
70	388	5086
71	393	5077
72	399	5076
73	405	5075
74	410	5064
75	416	5064
76	422	5059
77	427	5050
78	433	5051
79	438	5042
80	443	5032
81	450	5037
82	455	5030
83	460	5020
84	466	5021
85	471	5013
86	477	5005
87	483	5006
88	488	4999
89	493	4990
90	500	4997
91	505	4992
92	511	4984
93	517	4986
94	522	4978
95	527	4971
96	533	4964
97	538	4954
98	543	4949
99	551	4959
100	556	4956
101	563	4962
102	569	4958
103	574	4950
104	581	4959
105	587	4952
106	592	4944
107	598	4944
108	604	4937
109	609	4927
110	615	4929
111	620	4922
112	626	4916
113	631	4908
114	636	4899
115	641	4891
116	648	4891
117	653	4883
118	658	4876
119	664	4873
120	669	4866
121	675	4860
122	681	4857
123	686	4848
124	691	4840
125	697	4839
126	702	4830
127	707	4823
128	713	4819
129	718	4810
130	724	4804
131	730	4806
132	736	4798
133	742	4795
134	748	4796
135	753	4789
136	760	4788
137	765	4782
138	770	4774
139	776	4768
140	781	4759
141	786	4750
142	791	4745
143	797	4738
144	801	4728
145	807	4723
146	813	4718
147	818	4710
148	823	4705
149	829	4698
150	834	4690
151	840	4687
152	846	4684
153	851	4675
154	857	4674
155	862	4668
156	868	4661
157	874	4660
158	879	4654
159	884	4646
160	891	4643
161	895	4634
162	901	4626
163	907	4625
164	913	4620
165	918	4613
166	923	4608
167	928	4599
168	933	4590
169	939	4586
170	944	4577
171	949	4570
172	955	4567
173	961	4562
174	966	4556
175	972	4552
176	977	4545
177	983	4539
178	989	4537
179	994	4530
180	999	4523
181	1005	4517
182	1009	4504
183	1013	4496
184	1020	4495
185	1025	4489
186	1030	4482
187	1036	4476
188	1041	4470
189	1047	4463
190	1053	4461
191	1056	4447
192	1061	4440
193	1067	4434
194	1073	4433
195	1079	4426
196	1084	4422
197	1090	4418
198	1095	4411
199	1101	4406
200	1106	4399
201	1111	4392
202	1117	4388
203	1123	4385
204	1129	4382
205	1137	4382
206	1142	4375
207	1147	4369
208	1153	4365
209	1161	4369
210	1168	4368
211	1173	4361
212	1178	4353
213	1184	4352
214	1190	4346
215	1195	4339
216	1201	4335
217	1206	4328
218	1212	4322
219	1218	4319
220	1224	4316
221	1230	4310
222	1236	4308
223	1241	4302
224	1247	4295
225	1253	4291
226	1258	4284
227	1263	4279
228	1269	4274
229	1274	4268
230	1280	4263
231	1286	4257
232	1291	4250
233	1297	4248
234	1304	4246
235	1309	4240
236	1315	4235
237	1320	4227
238	1325	4219
239	1330	4214
240	1336	4209
241	1341	4202
242	1347	4198
243	1353	4192
244	1358	4186
245	1364	4181
246	1369	4175
247	1374	4168
248	1380	4162
249	1385	4157
250	1390	4150
251	1396	4146
252	1401	4139
253	1407	4132
254	1412	4126
255	1418	4122
256	1423	4115
257	1429	4111
258	1434	4104
259	1439	4096
260	1445	4093
261	1451	4087
262	1455	4079
263	1461	4075
264	1467	4069
265	1472	4062
266	1478	4057
267	1483	4052
268	1488	4046
269	1494	4041
270	1499	4034
271	1505	4028
272	1510	4022
273	1515	4015
274	1520	4007
275	1526	4003
276	1532	3999
277	1537	3992
278	1542	3987
279	1548	3983
280	1553	3975
281	1559	3970
282	1565	3965
283	1570	3958
284	1575	3953
285	1581	3948
286	1586	3941
287	1592	3937
288	1598	3931
289	1602	3923
290	1607	3917
291	1612	3910
292	1618	3904
293	1624	3899
294	1629	3893
295	1634	3886
296	1639	3881
297	1645	3877
298	1650	3870
299	1656	3866
300	1662	3860
301	1667	3852
302	1672	3847
303	1677	3840
304	1682	3833
305	1687	3826
306	1692	3821
307	1697	3813
308	1701	3805
309	1706	3798
310	1710	3790
311	1715	3782
312	1720	3775
313	1725	3768
314	1729	3761
315	1733	3753
316	1739	3748
317	1744	3740
318	1748	3733
319	1753	3726
320	1759	3721
321	1763	3713
322	1768	3706
323	1773	3700
324	1778	3693
325	1782	3685
326	1787	3678
327	1792	3672
328	1796	3664
329	1801	3657
330	1806	3650
331	1810	3643
332	1815	3635
333	1820	3629
334	1825	3623
335	1829	3616
336	1834	3609
337	1839	3603
338	1844	3596
339	1848	3588
340	1854	3583
341	1858	3576
342	1863	3568
343	1868	3563
344	1874	3558
345	1878	3551
346	1883	3544
347	1889	3540
348	1894	3533
349	1898	3526
350	1903	3519
351	1907	3511
352	1912	3504
353	1916	3498
354	1921	3491
355	1926	3484
356	1930	3477
357	1936	3473
358	1941	3466
359	1945	3459
360	1951	3453
361	1955	3447
362	1960	3440
363	1965	3433
364	1970	3428
365	1975	3421
366	1979	3414
367	1985	3409
368	1990	3403
369	1994	3396
370	1999	3390
371	2003	3382
372	2008	3375
373	2012	3368
374	2018	3364
375	2023	3357
376	2027	3350
377	2033	3346
378	2038	3339
379	2042	3332
380	2047	3326
381	2053	3321
382	2057	3314
383	2061	3307
384	2067	3302
385	2072	3296
386	2076	3289
387	2082	3284
388	2086	3277
389	2091	3271
390	2096	3264
391	2101	3259
392	2106	3252
393	2110	3246
394	2116	3241
395	2120	3234
396	2125	3227
397	2130	3222
398	2135	3216
399	2140	3211
400	2145	3204
401	2150	3199
402	2155	3192
403	2159	3185
404	2165	3180
405	2169	3174
406	2174	3167
407	2180	3163
408	2184	3157
409	2189	3150
410	2194	3144
411	2198	3137
412	2202	3130
413	2207	3124
414	2212	3118
415	2217	3113
416	2221	3106
417	2226	3100
418	2232	3095
419	2236	3088
420	2241	3082
421	2246	3077
422	2251	3071
423	2256	3065
424	2261	3060
425	2266	3053
426	2270	3047
427	2275	3041
428	2281	3036
429	2285	3029
430	2289	3023
431	2294	3017
432	2299	3010
433	2303	3004
434	2308	2998
435	2314	2993
436	2318	2987
437	2322	2980
438	2329	2977
439	2334	2971
440	2338	2964
441	2344	2960
442	2349	2953
443	2353	2947
444	2359	2942
445	2364	2936
446	2368	2930
447	2373	2924
448	2378	2918
449	2383	2912
450	2387	2906
451	2392	2900
452	2396	2893
453	2401	2887
454	2405	2881
455	2411	2876
456	2416	2870
457	2420	2864
458	2426	2859
459	2430	2853
460	2435	2847
461	2440	2841
462	2445	2836
463	2450	2830
464	2455	2825
465	2461	2820
466	2465	2814
467	2469	2807
468	2512	2844
469	2517	2839
470	2529	2840
471	2536	2837
472	2542	2832
473	2547	2826
474	2551	2820
475	2557	2815
476	2562	2809
477	2566	2803
478	2572	2797
479	2577	2792
480	2581	2785
481	2586	2779
482	2591	2773
483	2595	2767
484	2600	2760
485	2605	2755
486	2610	2749
487	2614	2743
488	2619	2737
489	2625	2732
490	2629	2726
491	2633	2719
492	2639	2714
493	2644	2708
494	2648	2702
495	2653	2696
496	2658	2690
497	2663	2684
498	2667	2678
499	2673	2673
500	2678	2667
501	2682	2661
502	2687	2655
503	2692	2649
504	2696	2643
505	2701	2637
506	2706	2631
507	2710	2625
508	2715	2619
509	2720	2614
510	2725	2608
511	2730	2602
512	2735	2596
513	2740	2590
514	2744	2584
515	2749	2578
516	2754	2573
517	2759	2567
518	2763	2561
519	2769	2556
520	2774	2550
521	2778	2544
522	2783	2538
523	2788	2533
524	2792	2526
525	2797	2520
526	2802	2515
527	2807	2509
528	2811	2503
529	2817	2498
530	2822	2492
531	2826	2486
532	2831	2480
533	2836	2475
534	2840	2469
535	2845	2462
536	2850	2457
537	2855	2451
538	2859	2445
539	2864	2440
540	2869	2434
541	2874	2429
542	2878	2422
543	2884	2418
544	2889	2412
545	2893	2406
546	2898	2400
547	2903	2394
548	2908	2388
549	2912	2382
550	2917	2377
551	2922	2371
552	2927	2366
553	2931	2360
554	2936	2354
555	2941	2348
556	2945	2342
557	2950	2337
558	2954	2331
559	2959	2325
560	2964	2319
561	2969	2314
562	2973	2308
563	2978	2302
564	2984	2297
565	2989	2292
566	2993	2286
567	2998	2280
568	3003	2275
569	3007	2269
570	3012	2263
571	3017	2257
572	3022	2252
573	3026	2246
574	3032	2241
575	3036	2235
576	3041	2229
577	3046	2224
578	3051	2218
579	3055	2212
580	3060	2206
581	3065	2201
582	3069	2195
583	3074	2189
584	3079	2184
585	3084	2179
586	3090	2174
587	3095	2168
588	3100	2163
589	3104	2157
590	3109	2151
591	3114	2146
592	3119	2140
593	3123	2135
594	3128	2129
595	3133	2124
596	3138	2118
597	3142	2112
598	3147	2106
599	3151	2101
600	3156	2095
601	3160	2089
602	3165	2084
603	3170	2078
604	3174	2072
605	3181	2068
606	3185	2062
607	3190	2056
608	3196	2052
609	3201	2046
610	3205	2040
611	3211	2035
612	3216	2030
613	3220	2024
614	3225	2019
615	3230	2014
616	3235	2008
617	3239	2002
618	3244	1997
619	3249	1991
620	3253	1985
621	3258	1980
622	3263	1974
623	3268	1969
624	3272	1963
625	3278	1958
626	3283	1953
627	3287	1947
628	3292	1942
629	3297	1936
630	3301	1930
631	3306	1925
632	3312	1920
633	3317	1915
634	3321	1909
635	3327	1904
636	3332	1899
637	3336	1893
638	3341	1887
639	3346	1882
640	3350	1876
641	3355	1870
642	3360	1865
643	3364	1860
644	3369	1854
645	3374	1849
646	3379	1843
647	3383	1838
648	3388	1832
649	3393	1827
650	3398	1821
651	3402	1816
652	3408	1811
653	3412	1805
654	3417	1800
655	3422	1794
656	3428	1789
657	3432	1784
658	3437	1778
659	3441	1773
660	3446	1767
661	3450	1761
662	3455	1756
663	3460	1751
664	3465	1745
665	3470	1740
666	3475	1735
667	3480	1729
668	3484	1724
669	3490	1719
670	3495	1713
671	3499	1708
672	3505	1703
673	3509	1697
674	3514	1692
675	3518	1686
676	3524	1681
677	3529	1676
678	3533	1670
679	3538	1665
680	3543	1659
681	3548	1654
682	3552	1649
683	3557	1643
684	3562	1638
685	3566	1632
686	3572	1627
687	3576	1622
688	3581	1616
689	3586	1611
690	3591	1605
691	3595	1600
692	3600	1594
693	3605	1589
694	3610	1584
695	3614	1578
696	3620	1573
697	3625	1568
698	3629	1562
699	3634	1557
700	3639	1552
701	3644	1547
702	3649	1541
703	3655	1537
704	3660	1531
705	3664	1526
706	3670	1521
707	3675	1515
708	3679	1510
709	3684	1505
710	3689	1499
711	3694	1494
712	3698	1488
713	3704	1483
714	3708	1478
715	3713	1472
716	3718	1467
717	3723	1462
718	3728	1457
719	3732	1451
720	3737	1446
721	3741	1440
722	3746	1435
723	3751	1430
724	3756	1424
725	3760	1419
726	3766	1414
727	3771	1409
728	3776	1403
729	3780	1398
730	3786	1393
731	3790	1387
732	3795	1382
733	3801	1377
734	3805	1372
735	3810	1366
736	3815	1361
737	3820	1356
738	3824	1350
739	3829	1345
740	3834	1340
741	3838	1334
742	3842	1329
743	3848	1324
744	3853	1318
745	3857	1313
746	3862	1308
747	3867	1302
748	3872	1297
749	3876	1292
750	3882	1287
751	3887	1282
752	3891	1276
753	3897	1271
754	3902	1266
755	3906	1260
756	3912	1255
757	3917	1250
758	3921	1245
759	3926	1239
760	3931	1234
761	3935	1229
762	3939	1223
763	3944	1218
764	3949	1213
765	3953	1207
766	3958	1202
767	3964	1197
768	3968	1192
769	3973	1186
770	3978	1181
771	3983	1176
772	3987	1171
773	3992	1165
774	3998	1160
775	4003	1155
776	4008	1150
777	4013	1145
778	4018	1139
779	4022	1134
780	4027	1129
781	4032	1124
782	4036	1118
783	4041	1113
784	4046	1108
785	4051	1102
786	4055	1097
787	4061	1092
788	4066	1087
789	4072	1082
790	4078	1077
791	4083	1072
792	4087	1066
793	4092	1061
794	4097	1056
795	4101	1051
796	4105	1045
797	4111	1040
798	4116	1035
799	4120	1030
800	4125	1024
801	4129	1019
802	4134	1014
803	4138	1008
804	4144	1003
805	4148	998
806	4153	993
807	4158	988
808	4163	983
809	4168	977
810	4173	972
811	4178	967
812	4183	962
813	4187	956
814	4193	951
815	4198	946
816	4204	941
817	4211	936
818	4217	931
819	4223	927
820	4229	922
821	4236	917
822	4242	912
823	4249	907
824	4256	902
825	4262	897
826	4268	892
827	4274	888
828	4281	883
829	4287	878
830	4294	873
831	4300	868
832	4307	863
833	4314	858
834	4320	853
835	4325	848
836	4331	843
837	4338	838
838	4344	833
839	4351	828
840	4358	823
841	4363	818
842	4369	813
843	4374	808
844	4380	803
845	4385	798
846	4391	793
847	4396	788
848	4401	782
849	4407	777
850	4412	772
851	4417	767
852	4422	762
853	4427	757
854	4433	751
855	4439	746
856	4444	741
857	4450	736
858	4455	731
859	4461	726
860	4466	721
861	4471	715
862	4476	710
863	4482	705
864	4487	700
865	4492	695
866	4497	689
867	4503	684
868	4508	679
869	4514	674
870	4519	669
871	4524	664
872	4529	658
873	4535	653
874	4540	648
875	4545	643
876	4551	638
877	4556	633
878	4561	627
879	4568	622
880	4573	617
881	4579	612
882	4584	607
883	4589	602
884	4594	597
885	4601	592
886	4606	586
887	4611	581
888	4616	576
889	4621	571
890	4626	565
891	4632	560
892	4637	555
893	4642	550
894	4648	545
895	4654	540
896	4658	534
897	4665	529
898	4670	524
899	4675	519
900	4682	514
901	4687	509
902	4693	504
903	4700	499
904	4706	494
905	4711	488
906	4716	483
907	4721	478
908	4727	473
909	4732	468
910	4737	462
911	4741	457
912	4747	452
913	4752	447
914	4756	441
915	4761	436
916	4766	431
917	4770	426
918	4775	420
919	4780	415
920	4785	410
921	4789	405
922	4796	400
923	4801	394
924	4805	389
925	4810	384
926	4815	379
927	4819	373
928	4824	368
929	4829	363
930	4833	358
931	4838	353
932	4843	347
933	4848	342
934	4852	337
935	4857	332
936	4862	326
937	4866	321
938	4871	316
939	4877	311
940	4881	306
941	4885	300
942	4890	295
943	4895	290
944	4899	285
945	4904	279
946	4909	274
947	4914	269
948	4918	264
949	4923	259
950	4929	253
951	4933	248
952	4939	243
953	4944	238
954	4948	233
955	4953	227
956	4958	222
957	4963	217
958	4967	212
959	4973	207
960	4978	202
961	4982	196
962	4987	191
963	4993	186
964	4997	181
965	5001	176
966	5006	170
967	5010	165
968	5015	160
969	5021	155
970	5026	150
971	5030	144
972	5035	139
973	5041	134
974	5046	129
975	5051	124
976	5057	119
977	5061	113
978	5066	108
979	5071	103
980	5075	98
